cell_lat,cell_lon,n_incidents,gi_z,gi_p,hotspot_class
33.94,-118.4,1373,0.037060103729345754,0.49,Not Significant
34.17,-118.59,1091,0.03493714854970318,0.43,Not Significant
34.16,-118.43,581,0.03425780289221774,0.34,Not Significant
34.15,-118.44,1330,0.031144135295408517,0.49,Not Significant
33.8,-118.27,170,0.03005435163652547,0.33,Not Significant
34.0,-118.43,796,0.028933431301674268,0.38,Not Significant
34.24,-118.54,1198,0.02890795583951842,0.45,Not Significant
34.23,-118.56,1065,0.02250370771426352,0.46,Not Significant
34.17,-118.43,477,0.022369253886219752,0.34,Not Significant
34.22,-118.55,456,0.021102557295699466,0.38,Not Significant
34.15,-118.39,908,0.019934931946896165,0.43,Not Significant
34.02,-118.2,1115,0.01931219842753434,0.46,Not Significant
34.21,-118.38,411,0.01846301635567747,0.34,Not Significant
34.04,-118.41,299,0.017274161455077534,0.35,Not Significant
34.19,-118.62,719,0.016934488626334763,0.39,Not Significant
33.78,-118.28,534,0.01674342266016679,0.4,Not Significant
34.26,-118.42,752,0.015264430551682482,0.44,Not Significant
34.06,-118.2,869,0.015030905481921823,0.43,Not Significant
34.19,-118.36,235,0.014991984636961843,0.41,Not Significant
34.03,-118.19,262,0.014291409427679865,0.42,Not Significant
34.21,-118.58,938,0.013941121823038777,0.46,Not Significant
